Nama Usaha;Alamat;Kdkec;Kddesa
MUNAWWARAH, CV;JL PERINTIS KEMERDEKAAN DSN I SERDANG BEDAGAI;Ronggur Nihuta;Sabungan Ni Huta
PUTRA SALEH ANUGERAH, CV;SIPULO-PULO KEL. SABUNGAN NIHUTA RONGGUR;Ronggur Nihuta;Sabungan Ni Huta
PARULIAN, CV;JL GEREJA NO 09;Ronggur Nihuta;Salaon Tonga Tonga
MARSADA, CV;JL RAYA RIANIATE KM. 7;Pangururan;Rianiate
PANCA PUTRA, CV;RIANIATE, PANGURURAN;Pangururan;Rianiate
RIANBOH, CV;JALAN SIHUSAPI;Pangururan;Rianiate
ANUGERAH ABADI SEJAHTERA, CV;JL HADRIANUS SINAGA;Pangururan;Parmonangan
FRIDO LBR, CV;JL RAYA RIANIATE KEC. PANGURURAN;Pangururan;Huta Namora
HITADISONN, CV;SIAMBALO KEL. HUTA NAMORA KEC. PANGURURAN;Pangururan;Huta Namora
INDAH NATAMA, CV;JL RIANIATE KEC. PANGURURAN;Pangururan;Huta Namora
LOBUAN, CV;hutanamora, pangururan;Pangururan;Huta Namora
NATAMA GROUP, CV;JL RIANIATE - PANGURURAN HUTANAMORA;Pangururan;Huta Namora
POPMAS, CV;JL RAYA RIANIATE -;Pangururan;Huta Namora
RIDHO KARYA NATAMA, CV;JL RAYA RIANIATE DS.HUTANAMORA;Pangururan;Huta Namora
BANJAR, CV;JL DR. HADRIANUS SINAGA KEL. PINTUSONA KEC. PANGURURAN;Pangururan;Pintusona
BEGABE, CV;pintusona, pangururan;Pangururan;Pintusona
KARYA SIMPAR FUSO LINSA, CV;JL DR. HADRIANUS SINAGA;Pangururan;Pintusona
LINSA, CV;pintusona;Pangururan;Pintusona
LINSA, UD;PALLIMUTAN;Pangururan;Pintusona
MANATAP, CV;JALAN DR. HADRIANUS SINAGA;Pangururan;Pintusona
SEJAHTERA UTAMA, CV;JL PINTU SONA;Pangururan;Pintusona
SIBIGO AMBORA, CV;JL DR. HADRIANUS;Pangururan;Pintusona
ULUAN BOLON, CV;JL HADRIANUS SINAGA PINTU SONA PANGURURAN;Pangururan;Pintusona
TIMBUL, CV;huta tinggi;Pangururan;Huta Tinggi
7 NAGA MARS, CV;JL NAHUM SITUMORANG KEC. PANGURURAN;Pangururan;Pardomuan I
ACI BIBIN, CV;JL USKUP AGUNG SUGIO PRANOTO PANGURURAN;Pangururan;Pardomuan I
ATN, CV;JL DI. PANJAITAN PARDOMUAN I PANGURURAN;Pangururan;Pardomuan I
BANJAR NAULI, CV;JL DIPONEGORO PARDOMUAN I PANGURURAN;Pangururan;Pardomuan I
DELTA, CV;JL HADRIANUS SINAGA;Pangururan;Pardomuan I
JAYA AGUNG, CV;JL DR. FERDINAN LUMBAN TOBING;Pangururan;Pardomuan I
LAMS, CV;JL PEKAN IMPRES;Pangururan;Pardomuan I
MARADEK JAYA, CV;JL D.I. PANJAITAN NO 221/222, PANGURURAN;Pangururan;Pardomuan I
MIDUK AEK NAMARPARBUE, CV;JL D.I. PANJAITAN;Pangururan;Pardomuan I
MULTI NIYARTA, CV;JL DI. PANJAITAN NO 209 PARDOMUAN I PANGURURAN;Pangururan;Pardomuan I
PARMAN ARTHA, UD;JL USKUP AGUNG S.PRANOTO NO 46;Pangururan;Pardomuan I
PERDANA KARYA, CV;JL NAHUM SITUMORANG, PANGURURAN;Pangururan;Pardomuan I
PERMATA INDAH, CV;LUMBAN RAJA, KEL. PARDOMUAN I, PANGURURAN;Pangururan;Pardomuan I
PURNA KARYA, CV;JL NAHUM SITUMORANG NO 5, PANGURURAN;Pangururan;Pardomuan I
RAJA HINOMA, CV;JL DR. F.L. TOBING NO 12, PANGURURAN;Pangururan;Pardomuan I
ROSARI YONASA, CV;JL D.I. PANJAITAN NO 222;Pangururan;Pardomuan I
SEJAHTERA, UD;JL DIPONEGORO PARDOMUAN I PANGURURAN;Pangururan;Pardomuan I
TRI HENRY, CV;JL HADRIANUS SINAGA PARDOMUAN 1 PANGURURAN;Pangururan;Pardomuan I
ULU TAUN, CV;JL PUTRI LOPIAN;Pangururan;Pardomuan I
ALINGAN, CV;JL TANAH LAPANG;Pangururan;Pasar Pangururan
ARIONDORO, CV;JL KEJAKSAAN NO 10, PANGURURAN;Pangururan;Pasar Pangururan
BUNGA TANJUNG (MDS), CV;SISINGAMARAJA NO.43,;Pangururan;Pasar Pangururan
DWIGOLF, CV;DSN HATOGUAN;Pangururan;Pasar Pangururan
GALORI CITRA LESTARI, CV;JL KEJAKSAAN NO 33;Pangururan;Pasar Pangururan
HOTANG JAYA PERKASA, CV;JL SISINGAMANGARAJA NO 11 PASAR PANGURURAN;Pangururan;Pasar Pangururan
MANGARERAK, CV;JL PATUAN ANGGI;Pangururan;Pasar Pangururan
MURNI JUPITA, CV;JL KEJAKSAAN NO.14, KEL. PASAR PANGURURAN, PANGURURAN;Pangururan;Pasar Pangururan
PARDOMUAN, CV;JL SISINGAMANGARAJA;Pangururan;Pasar Pangururan
RATNA, UD;JL PULO SAMOSIR NO 6, PANGURURAN;Pangururan;Pasar Pangururan
ROMUAL, CV;JL KEJAKSAAN NO.19;Pangururan;Pasar Pangururan
RUHUT, CV;JL SISINGAMANGARAJA NO 15;Pangururan;Pasar Pangururan
SAUT MARULAK, CV;JL SISINGAMANGARAJA NO 32;Pangururan;Pasar Pangururan
SITANGGOR NAULI, CV;JL PULO SAMOSIR;Pangururan;Pasar Pangururan
SUMBER SARI, CV;JL KEJAKSAAN NO 33;Pangururan;Pasar Pangururan
HARRIS, CV;JL TELE TANJUNG BUNGA;Pangururan;Tanjung Bunga
TIGOR JAYA, CV;tanjung bunga, pangururan;Pangururan;Tanjung Bunga
HOT SPRING, CV;JL AEK RANGAT;Pangururan;Siogung - Ogung
SAMPURAN, CV;JL AEK RANGAT KEL. SIOGUNG- OGUNG;Pangururan;Siogung - Ogung
BATU SOKKAL, CV;JL SIMANINDO NO 122 PARSAORAN 1;Pangururan;Parsaoran I
PARKA MENTA, CV;SITANGGANG BAU, KEL. PARSAORAN I, PANGURURAN;Pangururan;Parsaoran I
SANALUM, CV;JL SIMANINDO;Pangururan;Parsaoran I
SIAEK MUAL, CV;JL HARIARA TOLU;Pangururan;Parsaoran I
TAO TOBA NAULI, CV;JL SIMANINDO NO 22;Pangururan;Parsaoran I
TUMPAK RAJA, CV;JL KOL. LIBERTI MALAU NO 31;Pangururan;Parsaoran I
NUNUT, CV;JL PANGURURAN - SIMANINDO KM. 1;Pangururan;Sait Ni Huta
SEMANGAT, CV;SAITNIHUTA;Pangururan;Sait Ni Huta
STIKA, CV;JL SIMANINDO - SAITNIHUTA;Pangururan;Sait Ni Huta
TADIAN RONATAMA, CV;JL PANGURURAN - SIMANINDO SIDABAGAS NO 57, SIMANINDO;Pangururan;Sait Ni Huta
HUSIMA JAYA, CV;JL SIMANINDO KM. 4 NO 61, KEL. SITOLUHUTA, PANGURURAN;Pangururan;Sitolu Huta
IMPIAN INDAH, CV;SITOLUHUTA, PANGURURAN;Pangururan;Sitolu Huta
LOUIS, CV;JL SIMANINDO KM. 9 PARBABA KEC. PANGURURAN;Pangururan;Huta Bolon
MULA KONSTRUKSI, CV;JL DR, HADRIANUS SINGA;Pangururan;Pintusona
PARNA GOK, CV;SIMANINDO;Simanindo;Martoba
PINTU BATU, CV;JL SOSOR GALUNG, KEL. TOMOK, SIMANINDO;Simanindo;Cinta Dame
RONDANG NAULI, CV;SIMANINDO;Simanindo;Garoga
UNEDO, CV;TOMOK;Simanindo;Tuk-Tuk Siadong
SITOBU JAYA, CV;JL RYA SITOBU NO.1 GAROGA SIMANINDO;Simanindo;Ambarita
MARTOHONAN, CV;BESAR SIMANINDO;Simanindo;Tuk-Tuk Siadong
SINAR ELGA SMART, CV;JALAN DS SIMARMATA;Simanindo;Ambarita
TORANG MANDIRI, CV;JL TOMOK KEC. SIMANINDO;Simanindo;Tuk-Tuk Siadong
ADINA, CV;JL SIANJUR MULA-MULA NO 31, PANGURURAN;;
MONAMAS JAYA, CV;JL SIANJUR MULA-MULA NO 31, PANGURURAN;;
MONANG JAYA, CV;JL SIANJUR MULA-MULA PANGURURAN;;
MUFAKAT, CV;DESA PON KEC SEI BAMBAN;;
PEMBANGUNAN SAMOSIR, CV;JL SIMANINDO KM. 7 PANGURURAN;;
SIGULUAN, CV;JL SIMPANG PANAHATAN KEC. PALIPI;;
TOTAMA GROUP, CV;JL PATUAN ANGGI DESA PASAR SAMOSIR;;
TUNAS, CV;JL SIAHAAN BALIAN NO 1 PANGURURAN;;
BANGUN JAYA, CV;BANGUN PURBA KEL. SIMBOLON;Palipi;Simbolon Purba
TRIRAMA AGUNG, CV;SIDALUDALU DSN 2;Nainggolan;Sinaga Uruk Pandiangan
TIMBAS, CV;HARIAN BOHO;Harian;Turpuk Limbong
SIBIO BIO, CV;JL RONGGUR NIHUTA;Pangururan;Pardomuan I
SAUR DO NAULI, CV;SILAPIT;Simanindo;Tuk-Tuk Siadong
NIRMAYANTO GROUP, CV;DR. F. L. TOBING NO 26, DS. PARDOMUAN 1, KEC. PANGURURAN;Pangururan;Pardomuan I
MARANATHA, CV;JL GEREJA NO 8;Pangururan;Pasar Pangururan
LOIS, CV;JL KOL. LIBERTY MALAU NO 143, DS. PARDOMUAN 1, KEC. PANGURURAN;Pangururan;Pardomuan I
DOSROHA JEEGEES HABONARAN, CV;JL PUSUK BUHIT TANO PONGGOL;Pangururan;Parsaoran I
TRUST, CV;JL RAYA PALIPI MOGANG;Palipi;Palipi
KARYA VANY KONSTRUKSI, PT;SOSOR I;Palipi;Sigaol Marbun
JURNI GROUP, PT;JL FL TOBING;Pangururan;Pardomuan I
HAIRI ARTHA UTAMA, PT;JL HAIRI NO 1;Nainggolan;Pangaloan
LOIS CO-CA ABADI, PT;JL KOL. LIBERTY MALAU;Pangururan;Pardomuan I
TRYA LUMBAN LINTONG, PT;JL PELABUHAN;Onan Runggu;Onanrunggu
Abadi Protesa Mata Medan;Jalan Lingkar Tuktuk;Simanindo;Tuk-Tuk Siadong
KILANG PADI <Daniel T.a. Sagala>;Ginolat;Sianjur Mulamula;Ginolat
Geneng Sirimbang, UD;LUMBAN HARIARA;Pangururan;Pardomuan I
RM, CV;sosor II desa sigaol marbun. kec palipi. kab. samosir;;
PINTALAN GROUP, CV;Desa Paraduan Kec.Ronggur Nihuta Kab.Samosir;;
Bangun dongoran persada;Sosor silinjuang;;
TOKO EMAS DAN BERLIAN GILBERT;JL. FL. TOBING PANGURURAN;;
RITA PARBORAS;Pardomuan I;Pangururan;Pardomuan I
VINA TOUR DAN TRAVEL, PT;JL. DR HADRIANUS SINAGA, ONAN BARU PANGURURAN;Pangururan;Pardomuan I
KARAOKE RUMAH HOLI;JL. AEK RANGAT;;
ENI SALON;DESA LUMBAN SUHI SUHI TORUAN DUSUN 2;;
KILANG PADI JAHIM;SIMANAMPANG;Sianjur Mulamula;Huta Gurgur
KILANG PADI DIRMAN;SIMANAMPANG;Sianjur Mulamula;Huta Gurgur
MEMBUAT KUSEN <ADON>;SIBUTAR;Onan Runggu;Pardomuan
MENYADAP AREN <POLDYAMAN>;SITALASEAK;Onan Runggu;Pardomuan
MENYADAP AREN <GABE>;SOSOR MATIO;Onan Runggu;Pardomuan
MENYADAP AREN <PERUBAHAN>;SOSOR MATIO;Onan Runggu;Pardomuan
MENYADAP AREN <CHARLES>;SIRIAON;Onan Runggu;Pardomuan
MENYADAP AREN<DAMSON>;SIRIAON;Onan Runggu;Pardomuan
MEMBUAT KUE<MERI>;PARDOMUAN;Onan Runggu;Pardomuan
USAHA TIKAR PANDAN ROSLINA SIMATUPANG;GALUNG;Pangururan;Huta Namora
USAHA TENUN ULOS KARO MONIKA SIMBOLON;GALUNG;Pangururan;Huta Namora
USAHA ISI ULANG BERTUAH WATER;GALUNG;Pangururan;Huta Namora
USAHA TIKAR PANDAN ERNATA NAIBAHO;SIAMBALO;Pangururan;Huta Namora
USAHA TIKAR PANDAN HOTNI SIMBOLON;SIAMBALO;Pangururan;Huta Namora
USAHA JAHIT EVI RAJAGUKGUK;SIAMBALO;Pangururan;Huta Namora
USAHA  BATU BATA OLOAN SIMBOLON;HUTA BARU;Pangururan;Huta Namora
USAHA BATU BATA LAMBOK SIMBOLON;HUTA BARU;Pangururan;Huta Namora
USAHA BATU BATA KARTOLO SIMBOLON;SOSOR TAHUAN;Pangururan;Huta Namora
USAHA TIKAR PANDAN LENTI AMBARITA;SOSOR MABARITA;Pangururan;Huta Namora
USAHA BATU BATA JADOSTON SIMBOLON;PARSIHORAN;Pangururan;Huta Namora
USAHA BATU BATA TONGGI SIMBOLON;DOLOK NADUA;Pangururan;Huta Namora
USAHA BATU BATA ROBERTO SIMBOLON;DOLOK NADUA;Pangururan;Huta Namora
USAHA BATU BATA FIRMAN WAO;DOLOK NADUA;Pangururan;Huta Namora
USAHA BATU BATA RIANTO SILABAN;HUTA BARU;Pangururan;Huta Namora
USAHA TENUN ULOS KARO DAMERIA SITANGGANG;HUTA BARU;Pangururan;Huta Namora
USAHA TENUN ULOS KARO ITA PURNAMA MALAU;HUTABARU;Pangururan;Huta Namora
USAHA TIKAR PANDAN ESRIANA SINAGA;SITIOTIO;Pangururan;Huta Namora
USAHA TIKAR PANDAN MASNUR MANIK;SITIOTIO;Pangururan;Huta Namora
USHA KUE DONAT RESENDI SIMBOLON;TANO HUDON;Pangururan;Huta Namora
TIKAR PANDAN RUMINTA SIMBOLON;PINTU SONA;Pangururan;Pintusona
TENUN KASUSSAK SETIA ARNIELLI NDRAHA;PINTU SONA;Pangururan;Pintusona
TENUN KASUSSAK LESNA SIMANIHURUK;PINTU SONA;Pangururan;Pintusona
USAHA JAHIT NOVIA PRETTY SIMBOLON;PINTU SONA;Pangururan;Pintusona
TIKAR PANDAN NURLIDA SINAGA;PINTU SONA;Pangururan;Pintusona
TENUN LASMARIA;LUMBAN URUK URUK;Pangururan;Pardomuan I
LAS TUA DIMAN;SILALAHI;Pangururan;Pardomuan I
JAHIT HUDDEN;SILALAHI;Pangururan;Pardomuan I
TENUN ULOS KARO MELIADA;SILALAHI;Pangururan;Pardomuan I
GODUNG, CV;LUMBAN HARIARA;Pangururan;Pardomuan I
PENYADAP AREN PARDAMENTA;LUMBAN HARIARA;Pangururan;Pardomuan I
PENYADAP AREN SIKKAT;SIMANDEGE;Pangururan;Pardomuan I
PENYADAP AREN SUBUR;SIMANDEGE;Pangururan;Pardomuan I
DEPOT JONNER;SIRIMBANG;Pangururan;Pardomuan I
TUKANG JAHIT <MELI>;SIAGIAN PANGURURAN;Pangururan;Pardomuan I
WILLI ART, CV;SIAGIAN SD 1 PANGURURAN;Pangururan;Pardomuan I
ABC MAS CV;JL. FL TOBING;Pangururan;Pardomuan I
USAHA JAHIT PAKAIAN ROSPITA;JL RONGGUR;Pangururan;Pardomuan I
USAHA MEBEL VEROFIFEN;JALAN RONGGUR;Pangururan;Pardomuan I
JONSON SOFA;JL. PELABUHAN ONAN BARU;Pangururan;Pardomuan I
LASTI JAHIT;GG BERSAMA;Pangururan;Pardomuan I
TIARASI SIMBOLON;GG BERSAMA;Pangururan;Pardomuan I
NASO ANGKAT KUE;GG BERSAMA;Pangururan;Pardomuan I
THAMRIN ETALASE;TAHUAN;Pangururan;Pardomuan I
MEMBUAT KUE BASAH;SIMANGONDING;Pangururan;Siogung - Ogung
MEMBUAT KUE BASAH SIMBOLON;PANAHATAN;Pangururan;Siogung - Ogung
DIPPOS WATER;SIMANGONDING;Pangururan;Siogung - Ogung
SOALA GOGO SERASI;PANAHATAN;Pangururan;Siogung - Ogung
TUKANG JAHIT PAKAIAN;TANO PONGGOL;Pangururan;Siogung - Ogung
TENUN ULOS;TANO PONGGOL;Pangururan;Siogung - Ogung
TENUN ULOS;TANO PONGGOL;Pangururan;Siogung - Ogung
MEMBUAT KUE;TANO PONGGOL;Pangururan;Siogung - Ogung
JAHIT PAKAIAN WANITA <CINDY>;BATU BOLON;Pangururan;Aek Nauli
PENGRAJIN TAMPI <TIKKOS>;ANDALIMAN;Pangururan;Aek Nauli
TENUN ULOS KARO <ASNITA>;SITUMBIAK;Pangururan;Aek Nauli
PENGRAJIN TAMPI <POSMARIA>;SIBANGI DUGUL BELAKANG SD;Pangururan;Aek Nauli
PENGRAJIN TAMPI <DORLA>;RARAMBEAN;Pangururan;Aek Nauli
TENUN ULOS KARO <LASMINI>;SAORNAULI;Pangururan;Aek Nauli
PENYADAP AREN <MANIUR>;AEK DUGUL;Pangururan;Aek Nauli
PENGRAJIN TAMPI <DORMAULI>;KOMPLEK HKBP;Pangururan;Aek Nauli
TENUN ULOS KARO <MURNI>;KOMPLEK SD AEK NAULI;Pangururan;Aek Nauli
USAHA TENUN ULOS <SARTIKA MALAU>;LUMBAN SITANGGANG;Pangururan;Parhorasan
USAHA TENUN ULOS <ANITA SINURAT>;LUMBAN SINURAT;Pangururan;Parhorasan
USAHA TENUN ULOS <ROSMAULI MANIK>;LUMBAN SIMBOLON;Pangururan;Parhorasan
USAHA TENUN ULOS <LASTARIA SITANGGANG>;SUKARAME;Pangururan;Parhorasan
USAHA ANYAMAN TIKAR <ROSINTA SITANGGANG>;NAGA TIMBUL;Pangururan;Parhorasan
USAHA ANYAMAN TIKAR <RELI SIMARMATA>;NAGA TIMBUL;Pangururan;Parhorasan
USAHA JAHIT PAKAIAN <MAROLOAN NAINGGOLAN>;LUMBAN PEA;Pangururan;Parhorasan
USAHA TENUN ULOS <HOTMAULI SINURAT>;LUMBAN PEA;Pangururan;Parhorasan
USAHA TENUN ULOS <EMI HUTAPEA>;LUMBAN PEA;Pangururan;Parhorasan
USAHA TENUN ULOS <GOK RIA MANIK>;LUMBAN PEA;Pangururan;Parhorasan
USAHA TENUN ULOS <SINTEN SIMARMATA>;LUMBAN PEA;Pangururan;Parhorasan
TENUN <RONITA>;HUTA RAJA, DUSUN 2 DESA LUMBAN SUHI-SUHI TORUAN;Pangururan;Lumban Suhi Suhi Toruan
TENUN UDURMA;JALAN HARAPOHAN, DUSUN 2 DESA LUMBAN SUHI-SUHI TORUAN;Pangururan;Lumban Suhi Suhi Toruan
TENUN <MARLINA>;SINAPITU DUSUN 2 DESA LUMBAN SUHI-SUHI TORUAN;Pangururan;Lumban Suhi Suhi Toruan
TENUN <TUTI>;SINAPITU DUSUN 2 DESA LUMAN SUHI SUHI TORUAN;Pangururan;Lumban Suhi Suhi Toruan
TABITA TAYLOR;SITOBU, DUSUN 2 DESA GAROGA;Simanindo;Tomok
PENJAHIT <NIRMAWATI>;PASAR SITOBU NO. 12, DESA GAROGA;Simanindo;Tuk-Tuk Siadong
Pedagang pupuk (jestron nainggolan);Sari Marihit;Sianjur Mulamula;Sarimarrihit
Kampak Silaban (Pedagang pengumpul kentang);Hariara Pintu;Harian;Hariara Pintu
Toko gordyn onan baru;Pardomuan I;Pangururan;Pardomuan I
KM SABAR TANI;PELABUHAN SIMANINDO;Pangururan;Pardomuan I
ADI BARERA, UD;PARJONGGI DESA PARDOMUAN I;Pangururan;Pardomuan I
PERWAKILAN P.O SAMPRI ROYAL CLASS;pardomuan satu;Pangururan;Pasar Pangururan
USAHA JAHIT SARAH;JL. DR HADRIANUS SINAGA;Pangururan;Siopat Sosor
TEMPAT WISATA  Pantai Batu Hoda;JL tomok-pangururan, desa cinta dame;Simanindo;Tuk-Tuk Siadong
CITRA VAN TITIPAN KILAT PANGURURAN, PT;JL. D.I PANJAITAN NO.66 PANGURURAN;Pangururan;Pardomuan I
J&T EXPRESS PANGURURAN;JL. PANTUAN ANGGI;Pangururan;Lumban Pinggol
SAP EXPRESS;JL. RONGGUR NIIHUTA;Pangururan;Pardomuan I
ID EXPRESS;JL. USKUP AGUNG SUGIOPRANOTO;Pangururan;Pardomuan I
TRI PUTRA JAYA;JLN RING ROAD SAMOSIR;Pangururan;Pasar Pangururan
RIAN TUMORA;JL BARISAN GEREJA;Palipi;Saornauli Hatoguan
BINTANG BIRU DILANGIT, PT;KEL. SEI PELUNGGUT;Onan Runggu;Pakpahan
PODA SARI;GORAT DUSUN 3;Palipi;Gorat Pallombuan
PUTRA RABOS GRUP, PT;JL. RAYA SIMANINDO DESA CINTA DAME RAUT BOSI;Simanindo;Garoga
BUMDES SAPPINUR BUNGA;BANEARA DESA PARTUKO NAGINJANG;Harian;Partungko Naginjang
WATER FRONT PANGURURAN;JL. PUTRI LOPIAN;Pangururan;Pardomuan I
KAMPUNG ULOS HUTARAJA PARDAMEAN;JL. RAYA SIMANINDO DESA LUMBAN SUHI TORUAN;Pangururan;Lumban Suhi Suhi Toruan
Pembuatan Tampi <Mida Sitorus>;Desa Sinabulan, Pangururan;Pangururan;Sinabulan
"Rumah kontrakan ""Junedi Sihaloho""";Dusun 3 Desa Siopat Sosor;Pangururan;Siopat Sosor
Roti Ketawa Bakri;Jalan Perkantoran Pemkab Samosir, Dusun 3 , Desa Siopat Sosor;Pangururan;Siopat Sosor
Usaha becak Kiel;Dusun 3 Desa Siopat Sosor;Pangururan;Siopat Sosor
Rumah makan Family (khas Padang);Desa Pardomuan I, Pangururan;Pangururan;Pardomuan I
"Instalasi listrik ""Lamprison Sitinjak""";Desa Huta Tinggi, Pangururan;Pangururan;Huta Tinggi
Usaha Instalasi listrik <Irsan situmorang>;Dusun 2 Desa Siopat Sosor;Pangururan;Siopat Sosor
Prakter Dokter Umum <Joice H Nainggolan>;Sait Nihuta;Pangururan;Sait Ni Huta
JNE EXPRESS;Jalan SM Raja No. 27 Pangururan;Pangururan;Pasar Pangururan
Okla Cinematografy;Jalan Ronggur, Dusun 2, Pardomuan I;Pangururan;Pardomuan I
Sampri, PT;Kelurahan Pasar Pangururan, Pangururan;Pangururan;Pasar Pangururan
SHE BOSTON LAUNDRY;Jln. DR FL TOBING;Pangururan;Pasar Pangururan
SIHOLE PARADISE INN PARBABA;JLN. PANGURURAN SIMANINDO DESA SITUNGKIR;Pangururan;Situngkir
TIO BOLON HOMESTAY;DUSUN I, SIOPAT SOSOR;Pangururan;Siopat Sosor
SARI HOMESTAY;JL. RAYA SIMANINDO DESA SIOPAT SOSOR DUSUN 1;Pangururan;Siopat Sosor
D'FLO HOMESTAY;Jl. RAYA SIMANINDO DESA SITUNGKIR;Pangururan;Situngkir
ANTONY HOMESTAY;JALAN RAYA SIMANINDO DESA SITUNGKIR;Pangururan;Situngkir
ABADI COTTAGE;JL. LINGKAR TUKTUK, KELURAHAN TUKTUK SIADONG;Simanindo;Tuk-Tuk Siadong
SITIOTIO RESORT;AEK RANGAT NO 71 KEL.SIOGUNG-OGUNG KEC.PANGURURAN KAB.SAMOSIR;Pangururan;Siogung - Ogung
PENGINAPAN MARROAN 2;Jln.Lingkar Tuktuk Siadong, Kelurahan Tuktuk Siadong;Simanindo;Tuk-Tuk Siadong
MARINA HOTEL SAMOSIR;DESA SITUNGKIR;Pangururan;Situngkir
SAMUEL HOMESTAY;JALAN RAYA SIMANINDO PARBABA;Pangururan;Siopat Sosor
NABASA RD HOTEL;PANTAI INDAH SITUNGKIR DESA SITUNGKIR;Pangururan;Situngkir
PENGINAPAN PAGAR BATU;Sibara bara, Desa Turpuk Sihotang, SIBEA bea;Harian;Turpuk Sihotang
PENGINAPAN HETISILING;HARIAN BOHO, DESA TURPUK SIHOTANG KECAMATAN HARIAN, KABUPATEN SAMOSIR;Harian;Turpuk Sihotang
EBIKEL PENGINAPAN;Jl.Lingkar Tuktuk Siadong Kelurahan Tuktuk Siadong Kecamatan Simanindo Kabupaten Samosir;Simanindo;Tuk-Tuk Siadong
JUMA COTTAGES;JLN GEREJA TUKTUL SIADONG;Simanindo;Tuk-Tuk Siadong
BETA MARTABE RESORT;JL. HARIAN BOHO, DESA TURPUK SIHOTANG, KECAMATAN HARIAN;Harian;Turpuk Sihotang
PENGINAPAN PUTRI MALAU;Harian boho-Desa Turpuk Sihotang kecamatan harian kabupaten Samosir;Harian;Turpuk Malau
NYIUR MELAMBAI HOME STAY;JL. RAYA SIMANINDO, DESA SIOPAT SOSOR;Pangururan;Siopat Sosor
BAGAS PENGINAPAN;Sibara bara Desa Turpuk Sihotang kecamatan harian, kabupaten Samosir;Harian;Turpuk Sihotang
PENGINAPAN GRAND SIPAYUNG;JL. RAYA SIMANINDO PASIR PUTIH;Pangururan;Huta Bolon
PENGINAPAN MANIHURUK;PINTU UTAMA PASIR PUTIH PARBABA;Pangururan;Huta Bolon
LABERSA HOTEL & CONVENTION CENTER;JALAN RAYA SIMANINDO;Simanindo;Simarmata
TUK TUK TIMBUL BUNGALOW DAN RESTAURAN;Pindaraya;Simanindo;Siallagan Pindaraya
PENGINAPAN SIBEA-BEA;HARIAN BOHO-TURPUK SIHOTANG, KABUPATEN SAMOSIR;Harian;Turpuk Sihotang
VANDUS GUEST HOUSE;Jl.Lingkar Tuktuk Siadong;Simanindo;Tuk-Tuk Siadong
HOMESTAY NAGARATUS;Lape, Aek Sipitu Dai, Kecamatan Sianjur mula mula, Kabupaten Samosir;Sianjur Mulamula;Aek Sipitudai
SURABAYA RESSORT;AEK RANGAT KEL. SIOGUNG OGUNG;Pangururan;Siogung - Ogung
PARTONDUNGAN HOMESTAY;DESA SITOLU HUTA;Pangururan;Sitolu Huta
MONICA HOMESTAY;JL. RAYA SIMANINDO DOSROHA;Simanindo;Dosroha
PENGINAPAN SHELA 88;JLN RAYA SIMANINDO;Simanindo;Dosroha
GUEST HOUSE /PENGINAPAN HKBP DISTRIK VII;PROVINSI SUMATERA UTARA KAB/KOTA SAMOSIR KECAMATAN PANGURURAN KEL/DESA PASAR PANGURURAN;Pangururan;Pasar Pangururan
MANIK RAJA HOMESTAY;KOMPLEK PERKANTORAN PEMKAB SAMOSIR, DIDEPAN GEDUNG DPRD KABUPATEN SAMOSIR;Pangururan;Siopat Sosor
SPPG SAMOSIR PANGURURAN LUMBAN SS TORUA;JALAN RAYA SIMANINDO, DESA LUMBAN SUHI-SUHI, KEC. PANGURURAN, KAB. SAMOSIR, PROV. SUMATERA UTARA;Pangururan;Lumban Suhi Suhi Toruan
Cabang Rutan Pangururan;Jl.Kejaksaan No.18 Pangururan;;
USAHA WARUNG JAJANAN <ROSNA SIGIRO>;PARDUGUL;Pangururan;Pardugul
USAHA TENUN ULOS KARO (ESLINA SITUMORANG)  <ESLINA SITUMORANG>;PARDUGUL;Pangururan;Pardugul
Bertenun Ulos <Friska> <Friska Yanti Sinaga >;Naga Timbul;Pangururan;Parhorasan
UD. DOS NI ROHA <SAUT MAROLOP LUMBANRAJA>;LUMBAN HARIARA;Nainggolan;Pangaloan
Usaha tenun <Risnauli manik>;Lumban lait lait;Pangururan;Lumban Suhi Suhi Dolok
Bertenun Ulos <Marni> <Marni Sinurat >;Naga Timbul;Pangururan;Parhorasan
Bertenun Ulos <Marni> <Marni Sinurat >;Naga Timbul;Pangururan;Parhorasan
Bertenun Ulos <Diana > <Diana Sitanggang>;Lumban Sinurat;Pangururan;Parhorasan
KEDAI TUAK <BESLIN  MIKAEL SITANGGANG>;LUMBAN PANSUR;Pangururan;Sait Ni Huta
Pengumpulan Cabe, Bawang,Kopi,Kemiri <Resman Situmorang >;Sinaga Uruk Pandiangan;Nainggolan;Sinaga Uruk Pandiangan
Bertenun Ulos <Dewi> <Dewi sagala>;Siopat Sosor;Pangururan;Siopat Sosor
INTICOM, PERCETAKAN  <LAMMIAN NAIBAHO>;Jl Kolonel Liberty Malau;Pangururan;Pardomuan I
Salon Jonathan <Winda Silalahi>;Desa Boho;Sianjur Mulamula;Boho
Tenun( hotma simanihuruk) <Hotma simanihuruk>;Silenduk;Pangururan;Lumban Suhi Suhi Dolok
Bertenun Ulos <Mery> <Mery Clirent Sitanggang>;Naga Timbul;Pangururan;Parhorasan
