Nama Usaha;Alamat;Kdkec;Kddesa
USAHA JET SKY <RIAN>;JALAN LINGKAR TUK TUK;Simanindo;Maduma
BAGUS BAY HOME STAY;JL LINGKAR TUKTUK;Simanindo;Tuk-Tuk Siadong
ANGKUTAN PENUMPANG <LAMHOT>;HABEAHAN;Harian;Turpuk Sagala
TRANSPORTASI AIR KM MARTAULI;LUMBAN PASIR PINTU BATU;Pangururan;Rianiate
COTNEY RESTAURANT;JL LINGKAR TUKTUK;Simanindo;Tuk-Tuk Siadong
NARIK BECAK <SIMON>;DUSUN 1 MANDA PASAR;Pangururan;Sialanguan
RESTAURAN (PINNA);AEK RANGAT;Pangururan;Siogung - Ogung
TUKANG BECAK <SURUNG>;NAIBAHO URUK;Pangururan;Rianiate
SD RK SANTO PAULUS ONAN RUNGGU;ONAN RUNGGU;Onan Runggu;Onanrunggu
HISAR PENGINAPAN;JL LINGKAR TUKTUK;Simanindo;Tuk-Tuk Siadong
KARYA BONGGAR CV;LUMBAN NAINGGOLAN DSN 2;Pangururan;Parsaoran I
KEDAI KOPI (EIRENE);JL SISINGAMANGARAJA;Pangururan;Pasar Pangururan
JUAL AMPAS TERNAK <SIMANJUNTAK>;LORONG 3 PARLUASAN;Nainggolan;Siruma Hombar
DOOR SMEER PARDONA (MARDI);JALAN DR FL TOBING I;Pangururan;Pasar Pangururan
KB OBERHAUSEN HKBP;JALAN GEREJA;Pangururan;Pasar Pangururan
USAHA BECAK MOTOR <OCENG>;SIAHAAN BALIAN;Pangururan;Pasar Pangururan
JUAL TOKEN LISTRIK <IRMA>;JL SIANJUR MULAMULA;Pangururan;Pasar Pangururan
SMA KARYA JAYA PANGURURAN;JALAN TANAH LAPANG;Pangururan;Pasar Pangururan
POLINDES;AEK TUMPAHAN;Harian;Turpuk Sihotang
SD NEGERI 5 RONGGURNIHUTA;CENTRAL;Ronggur Nihuta;Ronggur Ni Huta
SEKOLAH PAUD;PINTU BATU;Pangururan;Rianiate
TRANSPORTASI BECAK <MEDANG>;PINTU BATU;Pangururan;Rianiate
TRANSPORTASI BECAK <URUK>;PINTU BATU;Pangururan;Rianiate
TRANSPORTASI BECAK <SEIAN>;PINTU BATU;Pangururan;Rianiate
YAYASAN SARI ASIH NUSANTARA;JL TERMINAL MOGANG;Palipi;Pallombuan
PANDU LIKESIDE;JL LINGKAR TUKTUK;Simanindo;Tuk-Tuk Siadong
PENGINAPAN ROGANDA;JL HORAS TOMOK PARSAORAN;Simanindo;Tomok Parsaoran
JUAL BARANG KELONTONG SITANGGANG;PEKAN MOGANG;Palipi;Pallombuan
USAHA BECAK MOTOR <FREDDY>;DEKAT TANAH LAPANG;Pangururan;Pasar Pangururan
PERSEWAAN JET SKY <PERNIJAN>;JALAN LINGKAR TUK TUK;Simanindo;Garoga
PIZZERIA;JLN LINGKAR TUK-TUK SIADONG;Simanindo;Dosroha
PUTRA REJEKI TANI UD;PARDOMUAN;Pangururan;Pardomuan I
PENGANGKUTAN UMUM;J L TANAH LAPANG;Pangururan;Pasar Pangururan
TOKO MAS  SURABAYA;JL DI PANJAITAN NO 83;Pangururan;Pardomuan I
CV JOSUA;SITOHANG;Sitio-tio;Sabulan
TRANSPORTASI BECAK <PARULIAN>;PINTU BATU DESA RIANIATE;Pangururan;Rianiate
ASRAMA PUTRI;JL USKUP AGUNG SUGIO PRANOTO;Pangururan;Pardomuan I
ROGATE BEACH HOTEL, CV;DESA UNJUR;Simanindo;Unjur
USAHA KILANG PADI <RUDOL>;SIANJUR MULAMULA;Sianjur Mulamula;Sianjur Mula Mula
TOKO JOY;JL PELABUHAN;Pangururan;Pardomuan I
BUDIARTI, UD;JALAN RAYA RIANIATE;Pangururan;Huta Namora
ROMLAN NET;JL LINGKAR TUKTUK;Simanindo;Ambarita
SPBU <PT KARUNIA PUTRI SEJATI>;JL USKUP AGUNG SUGIO PRANOTO;Pangururan;Pardomuan I
SD NEGERI 14 TANJUNGAN;JALAN BESAR TANJUNGAN;Simanindo;Tanjungan
CHARLES MUSIK;JL SIANJUR MULAMULA;Pangururan;Pasar Pangururan
VARIA BARU (BINTER), UD;JL SISINGAMANGARAJA;Pangururan;Pasar Pangururan
TOKO OBAT YANTI;JL DR HADRIANUS SINAGA;Pangururan;Pardomuan I
SUMBA TAYLOR <MANAHARA>;JL SISINGAMANGARAJA PANGURURAN;Pangururan;Pasar Pangururan
RUMAH MAKAN MINUM (ROMUAL);JL PULO SAMOSIR;Pangururan;Pasar Pangururan
KARYA NAULI, CV;JL FL TOBING;Pangururan;Pardomuan I
SD NEGERI 6 SALAON TOBA;SALAON TOBA;Ronggur Nihuta;Salaon Toba
GARDU PLN ONAN RUNGGU;SIBORONG BORONG;Onan Runggu;Onanrunggu
PAUD BERKAT;NAINGGOLAN PANDIANGAN;Nainggolan;Sinaga Uruk Pandiangan
SMK NEGERI 1 MALIN;MOGANG;Palipi;Pallombuan
SD NEGERI 12 PAKPAHAN;PAKPAHAN;Onan Runggu;Pakpahan
TRANSPORTASI <MUARA S>;LBN SIMANIHURUK DUSUN 2;Pangururan;Lumban Suhi Suhi Dolok
TOKO SEMBAKO <TUAN BOS>;JALAN DANAU TOBA PANGURURAN;Pangururan;Pasar Pangururan
LOKET SAMPRI <SUDUNG>;JALAN SISINGAMANGARAJA;Pangururan;Pasar Pangururan
USAHA BANANA BOAT <BUNGHOT>;JALAN LINGKAR TUK TUK;Simanindo;Tomok Parsaoran
CV PERDANA MOTOR;JL DI PANJAITAN (depan bank bri);Pangururan;Pardomuan I
TIOMART;JL PUTRI LOPIAN;Pangururan;Pardomuan I
TK SWASTA TUNAS HARAPAN AMBARITA;JL ASPOL;Simanindo;Ambarita
